domain,site_type
www.eeoc.gov,fed_gov_from_usa_dot_gov
www.eia.doe.gov,fed_gov_from_usa_dot_gov
www.energy.gov,fed_gov_from_usa_dot_gov
www.energystar.gov,fed_gov_from_usa_dot_gov
www.epa.gov,fed_gov_from_usa_dot_gov
www.ers.usda.gov,fed_gov_from_usa_dot_gov
www.eucom.mil,fed_gov_from_usa_dot_gov
www.exim.gov,fed_gov_from_usa_dot_gov
www.faa.gov,fed_gov_from_usa_dot_gov
www.fanniemae.com,fed_gov_from_usa_dot_gov
www.fas.usda.gov,fed_gov_from_usa_dot_gov
www.fasab.gov,fed_gov_from_usa_dot_gov
www.fbi.gov,fed_gov_from_usa_dot_gov
www.fca.gov,fed_gov_from_usa_dot_gov
www.fcc.gov,fed_gov_from_usa_dot_gov
www.fcg.gov,fed_gov_from_usa_dot_gov
www.fcsic.gov,fed_gov_from_usa_dot_gov
www.fda.gov,fed_gov_from_usa_dot_gov
www.fdic.gov,fed_gov_from_usa_dot_gov
www.feb.gov,fed_gov_from_usa_dot_gov
www.fec.gov,fed_gov_from_usa_dot_gov
www.federallabs.org,fed_gov_from_usa_dot_gov
www.federalreserve.gov,fed_gov_from_usa_dot_gov
www.fema.gov,fed_gov_from_usa_dot_gov
www.ferc.gov,fed_gov_from_usa_dot_gov
www.ffiec.gov,fed_gov_from_usa_dot_gov
www.fgdc.gov,fed_gov_from_usa_dot_gov
www.fhfa.gov,fed_gov_from_usa_dot_gov
www.fhwa.dot.gov,fed_gov_from_usa_dot_gov
www.firescience.gov,fed_gov_from_usa_dot_gov
www.fiscal.treasury.gov,fed_gov_from_usa_dot_gov
www.fisheries.noaa.gov,fed_gov_from_usa_dot_gov
www.fitness.gov,fed_gov_from_usa_dot_gov
www.fjc.gov,fed_gov_from_usa_dot_gov
www.fletc.gov,fed_gov_from_usa_dot_gov
www.floodsmart.gov,fed_gov_from_usa_dot_gov
www.flra.gov,fed_gov_from_usa_dot_gov
www.fmc.gov,fed_gov_from_usa_dot_gov
www.fmcs.gov,fed_gov_from_usa_dot_gov
www.fmcsa.dot.gov,fed_gov_from_usa_dot_gov
www.fmshrc.gov,fed_gov_from_usa_dot_gov
www.fns.usda.gov,fed_gov_from_usa_dot_gov
www.fra.dot.gov,fed_gov_from_usa_dot_gov
www.freddiemac.com,fed_gov_from_usa_dot_gov
www.frtib.gov,fed_gov_from_usa_dot_gov
www.fs.fed.us,fed_gov_from_usa_dot_gov
www.fsa.usda.gov,fed_gov_from_usa_dot_gov
www.fsis.usda.gov,fed_gov_from_usa_dot_gov
www.ftc.gov,fed_gov_from_usa_dot_gov
www.fvap.gov,fed_gov_from_usa_dot_gov
www.fws.gov,fed_gov_from_usa_dot_gov
www.gao.gov,fed_gov_from_usa_dot_gov
www.ginniemae.gov,fed_gov_from_usa_dot_gov
www.gipsa.usda.gov,fed_gov_from_usa_dot_gov
www.gpo.gov,fed_gov_from_usa_dot_gov
www.gsa.gov,fed_gov_from_usa_dot_gov
www.health.gov,fed_gov_from_usa_dot_gov
www.health.mil,fed_gov_from_usa_dot_gov
www.hhs.gov,fed_gov_from_usa_dot_gov
www.house.gov,fed_gov_from_usa_dot_gov
www.hrsa.gov,fed_gov_from_usa_dot_gov
www.hud.gov,fed_gov_from_usa_dot_gov
www.huduser.org,fed_gov_from_usa_dot_gov
www.iaf.gov,fed_gov_from_usa_dot_gov
www.ice.gov,fed_gov_from_usa_dot_gov
www.ich.gov,fed_gov_from_usa_dot_gov
www.ignet.gov,fed_gov_from_usa_dot_gov
www.ihs.gov,fed_gov_from_usa_dot_gov
www.imls.gov,fed_gov_from_usa_dot_gov
www.improveirs.org,fed_gov_from_usa_dot_gov
www.inaugural.senate.gov,fed_gov_from_usa_dot_gov
www.investor.gov,fed_gov_from_usa_dot_gov
www.irs.gov,fed_gov_from_usa_dot_gov
www.jamesmadison.gov,fed_gov_from_usa_dot_gov
www.jcs.mil,fed_gov_from_usa_dot_gov
www.jobcorps.gov,fed_gov_from_usa_dot_gov
www.jpeocbrnd.osd.mil,fed_gov_from_usa_dot_gov
www.jpml.uscourts.gov,fed_gov_from_usa_dot_gov
